groups,transport,battery,relay,component,gap,units,cv,A_uav,B_uav,C_uav,A_battery,B_battery,C_battery,R_uav,R_component
S001;S002 | S003;S007;S009;S010;S011;S013;S014;S015 | S004;S005;S006;S008;S012,13,18,6,9,16,46,0.21650595040575235,5,5,3,7,6,5,6,9
S001;S002 | S003;S007;S011 | S004;S005;S006;S008;S009;S010;S012;S013;S014;S015,14,18,6,8,16,46,0.35665169647849915,7,4,3,7,6,5,6,8
S001;S002 | S003;S007;S011;S012 | S004;S005;S006;S008;S009;S010;S013;S014;S015,14,19,6,9,18,48,0.26545565946317345,7,4,3,7,7,5,6,9
S001;S002 | S003;S007;S011;S012;S015 | S004;S005;S006;S008;S009;S010;S013;S014,15,19,6,9,19,49,0.2237971372902246,7,5,3,7,7,5,6,9
S001;S002 | S003;S007;S011;S015 | S004;S005;S006;S008;S009;S010;S012;S013;S014,15,18,6,8,17,47,0.30246830768889427,7,5,3,7,6,5,6,8
S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S013;S014 | S012 | S015,10,15,6,7,8,38,0.8759145858189464,4,4,2,6,5,4,6,7
S001;S002;S003;S004;S005;S006;S007;S008;S011 | S009;S010;S012;S013;S014 | S015,13,16,6,8,13,43,0.530250494855671,7,4,2,7,5,4,6,8
S001;S002;S003;S004;S005;S006;S007;S008;S011 | S009;S010;S013;S014 | S012;S015,12,16,6,9,13,43,0.44873102087284467,7,3,2,7,5,4,6,9
S001;S002;S003;S004;S005;S006;S007;S008;S011 | S009;S010;S013;S014;S015 | S012,13,16,6,8,13,43,0.5599862924892858,7,4,2,7,5,4,6,8
S001;S002;S003;S004;S005;S006;S007;S008;S011;S012 | S009;S010;S013;S014 | S015,12,15,6,8,11,41,0.569775311701001,7,3,2,7,4,4,6,8
S001;S002;S003;S004;S005;S006;S007;S008;S011;S015 | S009;S010;S013;S014 | S012,12,16,6,8,12,42,0.5965816677202609,7,3,2,7,5,4,6,8
S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S012;S013;S014 | S008 | S015,11,16,6,7,10,40,0.8104212819730965,4,5,2,6,6,4,6,7
S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S013;S014 | S008 | S012;S015,11,16,6,8,11,41,0.6962016679494382,4,5,2,6,6,4,6,8
S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S013;S014 | S008;S012 | S015,11,15,6,8,10,40,0.6477763105102047,4,5,2,6,5,4,6,8
S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S013;S014 | S008;S015 | S012,11,16,6,8,11,41,0.7202928890927776,4,5,2,6,6,4,6,8
S001;S002;S003;S004;S005;S006;S007;S009;S010;S011;S013;S014;S015 | S008 | S012,11,16,6,7,10,40,0.8372061593678356,4,5,2,6,6,4,6,7
S001;S002;S003;S004;S005;S006;S007;S011 | S008 | S009;S010;S012;S013;S014;S015,14,17,6,8,15,45,0.4539033736972098,7,5,2,7,6,4,6,8
S001;S002;S003;S004;S005;S006;S007;S011 | S008;S009;S010;S012;S013;S014 | S015,14,16,6,8,14,44,0.4620974338763873,7,5,2,7,5,4,6,8
S001;S002;S003;S004;S005;S006;S007;S011 | S008;S009;S010;S013;S014 | S012;S015,14,17,6,9,16,46,0.35870588298147205,7,5,2,7,6,4,6,9
S001;S002;S003;S004;S005;S006;S007;S011 | S008;S009;S010;S013;S014;S015 | S012,14,17,6,8,15,45,0.4920998905144667,7,5,2,7,6,4,6,8
S001;S002;S003;S004;S005;S006;S007;S011 | S008;S012 | S009;S010;S013;S014;S015,14,16,6,9,15,45,0.3034978210115728,7,5,2,7,5,4,6,9
