K,任务组,运输架次,t0_s,t1_s,原中继任务,本组通信提供者,margin_dB
2,G1,3,1572.19552942783,1675.54702248065,Q3-R01,K2-recommended-G1-R_uav-1,3.93530081681283
2,G1,3,1675.54702248065,1752.19552942783,Q3-R01,K2-recommended-G1-R_uav-1,3.93530081681283
2,G1,3,1752.19552942783,1773.20666333897,Q3-R01,K2-recommended-G1-R_uav-1,3.75797242098834
2,G1,3,1773.20666333897,1780.20770797601,Q3-R02,K2-recommended-G1-R_uav-2,0.0916164832338779
2,G1,3,1780.20770797601,1792.6673299855,Q3-R02,K2-recommended-G1-R_uav-2,0.0357860314744443
2,G1,3,1792.6673299855,1805.12695199499,Q3-R02,K2-recommended-G1-R_uav-2,0.119819475924274
2,G1,3,1805.12695199499,1830.04619601397,Q3-R02,K2-recommended-G1-R_uav-2,0.122391227202783
2,G1,3,1830.04619601397,1879.88468405193,Q3-R02,K2-recommended-G1-R_uav-2,0.0924984273137426
2,G1,3,1879.88468405193,1979.56166012785,,G01,0.687588329273126
2,G1,3,1979.56166012785,2178.91561227968,,G01,3.48210182388043
2,G1,3,2178.91561227968,2302.0902265375,,G01,22.1765507746816
2,G1,4,4392.95432979195,4472.4386852607,,G01,25.981341853713
2,G1,4,4472.4386852607,4648.4589164898,,G01,3.16569748822293
2,G1,4,4648.4589164898,4824.47914771889,Q3-R03,K2-recommended-G1-R_uav-1,2.22059211128949
2,G1,4,4824.47914771889,4852.19663204812,Q3-R03,K2-recommended-G1-R_uav-1,3.27938085689138
2,G1,4,4852.19663204812,4890.18459205483,Q3-R04,K2-recommended-G1-R_uav-2,4.84553039002492
2,G1,4,4890.18459205483,5250.18459205483,Q3-R04,K2-recommended-G1-R_uav-2,5.10847053278178
2,G1,4,5250.18459205483,5302.74894752358,Q3-R04,K2-recommended-G1-R_uav-2,4.64620749634376
2,G1,4,5302.74894752358,5425.78900509904,Q3-R03,K2-recommended-G1-R_uav-1,2.68990997062029
2,G1,4,5425.78900509904,5544.66019542507,,G01,1.1832578484869
2,G1,4,5544.66019542507,5654.78940998177,,G01,7.05703034915548
2,G1,4,5654.78940998177,5754.1448543177,,G01,25.981341853713
2,G1,5,300.0,348.452203369141,,G01,28.6970794428954
2,G1,5,348.452203369141,552.050792936987,,G01,1.95921317757148
2,G1,5,552.050792936987,587.673436979956,,G01,2.11881910856134
2,G1,5,587.673436979956,718.826061535051,,G01,2.247841154143
2,G1,5,718.826061535051,797.673436979956,,G01,2.247841154143
2,G1,5,797.673436979956,827.35897368243,,G01,2.11881910856134
2,G1,5,827.35897368243,1030.95756325027,,G01,1.95921317757148
2,G1,5,1030.95756325027,1089.10020729324,,G01,28.6970794428954
2,G1,6,300.0,348.452203369141,,G01,28.6970794428954
2,G1,6,348.452203369141,602.950440328949,,G01,1.95921317757148
2,G1,6,602.950440328949,638.573084371917,,G01,2.11881910856134
2,G1,6,638.573084371917,718.826061535051,,G01,2.247841154143
2,G1,6,718.826061535051,878.573084371917,,G01,2.247841154143
2,G1,6,878.573084371917,908.258621074391,,G01,2.11881910856134
2,G1,6,908.258621074391,1162.7568580342,,G01,1.95921317757148
2,G1,6,1162.7568580342,1220.89950207717,,G01,28.6970794428954
2,G1,7,672.38545286357,718.826061535051,,G01,29.0653920081261
2,G1,7,718.826061535051,775.030964745081,,G01,22.7598396645181
2,G1,7,775.030964745081,1173.73886904877,Q3-R01,K2-recommended-G1-R_uav-1,0.565712286578602
2,G1,7,1173.73886904877,1207.35348330658,Q3-R01,K2-recommended-G1-R_uav-1,3.69737873568202
2,G1,7,1207.35348330658,1417.35348330658,Q3-R01,K2-recommended-G1-R_uav-1,3.93530081681283
2,G1,7,1417.35348330658,1445.36566185476,Q3-R01,K2-recommended-G1-R_uav-1,3.69737873568202
2,G1,7,1445.36566185476,1675.54702248065,Q3-R01,K2-recommended-G1-R_uav-1,4.33863923995723
2,G1,7,1675.54702248065,1773.20666333897,,G01,5.47010676311211
2,G1,7,1773.20666333897,1844.07356615844,,G01,11.4779930754727
2,G1,7,1844.07356615844,1967.24818041625,,G01,22.1765507746816
2,G1,8,4361.25074515259,4442.98718924439,,G01,24.1550352714684
2,G1,8,4442.98718924439,4647.59191064625,,G01,1.81553921701916
2,G1,8,4647.59191064625,4852.19663204812,Q3-R03,K2-recommended-G1-R_uav-1,2.08673947322393
2,G1,8,4852.19663204812,4981.58939673927,Q3-R04,K2-recommended-G1-R_uav-2,8.82601459632816
2,G1,8,4981.58939673927,5001.99126319435,Q3-R04,K2-recommended-G1-R_uav-2,0.0300575872650768
2,G1,8,5001.99126319435,5022.39312964943,Q3-R04,K2-recommended-G1-R_uav-2,0.0265284606814618
2,G1,8,5022.39312964943,5262.39312964943,Q3-R04,K2-recommended-G1-R_uav-2,0.136042485008304
2,G1,8,5262.39312964943,5279.39468502866,Q3-R04,K2-recommended-G1-R_uav-2,0.0265284606814618
2,G1,8,5279.39468502866,5296.39624040789,Q3-R04,K2-recommended-G1-R_uav-2,0.0300575872650768
2,G1,8,5296.39624040789,5425.78900509904,Q3-R04,K2-recommended-G1-R_uav-2,8.82601459632816
2,G1,8,5425.78900509904,5544.66019542507,Q3-R03,K2-recommended-G1-R_uav-1,2.71276233090138
2,G1,8,5544.66019542507,5553.73326581499,,G01,9.15190113445284
2,G1,8,5553.73326581499,5562.80633620492,,G01,9.426818559236
2,G1,8,5562.80633620492,5580.95247698478,,G01,9.70816969180956
2,G1,8,5580.95247698478,5617.24475854449,,G01,0.299484375463948
2,G1,8,5617.24475854449,5689.82932166391,,G01,1.61610896864612
2,G1,8,5689.82932166391,5834.99844790275,,G01,4.66168115106422
2,G1,8,5834.99844790275,5933.08218081291,,G01,24.1550352714684
2,G1,9,3051.42681562808,3099.87901899722,,G01,28.6970794428954
2,G1,9,3099.87901899722,3108.86527227216,,G01,25.8962450038347
2,G1,9,3108.86527227216,3161.50263026138,,G01,14.0851731851688
2,G1,9,3161.50263026138,3354.37725595703,,G01,2.14537338983922
2,G1,9,3354.37725595703,3389.9999,,G01,2.11881910856134
2,G1,9,3389.9999,3599.9999,,G01,2.247841154143
2,G1,9,3599.9999,3629.68543670247,,G01,2.11881910856134
2,G1,9,3629.68543670247,3884.18367366228,,G01,1.95921317757148
2,G1,9,3884.18367366228,3942.32631770525,,G01,28.6970794428954
2,G1,10,1205.96483972278,1266.38292443957,,G01,26.7800109952677
2,G1,10,1266.38292443957,1470.96497346011,,G01,1.87581319314671
2,G1,10,1470.96497346011,1573.25599797038,Q3-R01,K2-recommended-G1-R_uav-1,0.458168825139524
2,G1,10,1573.25599797038,1624.40151022551,Q3-R01,K2-recommended-G1-R_uav-1,0.392126104215237
2,G1,10,1624.40151022551,1649.97426635308,Q3-R01,K2-recommended-G1-R_uav-1,0.240286726328108
2,G1,10,1649.97426635308,1662.76064441687,Q3-R01,K2-recommended-G1-R_uav-1,0.141651019404307
2,G1,10,1662.76064441687,1669.15383344876,Q3-R01,K2-recommended-G1-R_uav-1,0.0875229137746771
2,G1,10,1669.15383344876,1675.54702248065,Q3-R01,K2-recommended-G1-R_uav-1,0.00420634427008792
2,G1,10,1675.54702248065,1760.47028811182,Q3-R02,K2-recommended-G1-R_uav-2,7.42904100991313
2,G1,10,1760.47028811182,1773.20666333897,Q3-R02,K2-recommended-G1-R_uav-2,8.54799686624557
2,G1,10,1773.20666333897,1796.25198977198,Q3-R02,K2-recommended-G1-R_uav-2,8.49028606538083
2,G1,10,1796.25198977198,2006.25198977198,Q3-R02,K2-recommended-G1-R_uav-2,8.58969544764825
2,G1,10,2006.25198977198,2036.07007448878,Q3-R02,K2-recommended-G1-R_uav-2,8.43471562018644
2,G1,10,2036.07007448878,2283.11375632488,Q3-R02,K2-recommended-G1-R_uav-2,3.09374341779245
2,G1,10,2283.11375632488,2530.15743816099,,G01,0.277360399710858
2,G1,10,2530.15743816099,2602.65913982114,,G01,26.7800109952677
2,G1,11,2312.25901412354,2368.1462659139,,G01,27.4570949900334
2,G1,11,2368.1462659139,2602.15245197061,,G01,2.64660268261862
2,G1,11,2602.15245197061,2635.45715411905,,G01,2.84274166465613
2,G1,11,2635.45715411905,2815.45715411905,,G01,2.97531985376901
2,G1,11,2815.45715411905,2891.14893878702,,G01,2.60983234053241
2,G1,11,2891.14893878702,3108.86527227216,Q3-R02,K2-recommended-G1-R_uav-2,0.133721969887148
2,G1,11,3108.86527227216,3127.31797849971,Q3-R03,K2-recommended-G1-R_uav-1,4.00954934485762
2,G1,11,3127.31797849971,3161.50263026138,Q3-R03,K2-recommended-G1-R_uav-1,3.89122234247587
2,G1,11,3161.50263026138,3163.58812010127,Q3-R03,K2-recommended-G1-R_uav-1,4.15888273319932
2,G1,11,3163.58812010127,3343.58812010127,Q3-R03,K2-recommended-G1-R_uav-1,4.1760073314011
2,G1,11,3343.58812010127,3398.07917845088,Q3-R03,K2-recommended-G1-R_uav-1,3.61938804937449
2,G1,11,3398.07917845088,3775.95089235212,Q3-R03,K2-recommended-G1-R_uav-1,2.49346836753311
2,G1,11,3775.95089235212,3929.66016237165,,G01,20.2529737910729
2,G1,12,2640.72744160904,2785.42882100357,,G01,19.1938966486376
2,G1,12,2785.42882100357,2947.14704663787,,G01,3.18966542594336
2,G1,12,2947.14704663787,3028.00615945501,,G01,0.551150622150189
2,G1,12,3028.00615945501,3068.43571586358,Q3-R02,K2-recommended-G1-R_uav-2,0.191806872894844
2,G1,12,3068.43571586358,3088.65049406787,Q3-R02,K2-recommended-G1-R_uav-2,0.225479369143045
2,G1,12,3088.65049406787,3108.86527227216,Q3-R02,K2-recommended-G1-R_uav-2,0.0656777465776202
2,G1,12,3108.86527227216,3161.50263026138,Q3-R03,K2-recommended-G1-R_uav-1,8.42697449740466
2,G1,12,3161.50263026138,3269.64077144077,Q3-R03,K2-recommended-G1-R_uav-1,3.8577347132254
2,G1,12,3269.64077144077,3358.9624267142,Q3-R03,K2-recommended-G1-R_uav-1,3.75529719651702
2,G1,12,3358.9624267142,3598.9624267142,Q3-R03,K2-recommended-G1-R_uav-1,3.99762295151061
2,G1,12,3598.9624267142,3673.39713944207,Q3-R03,K2-recommended-G1-R_uav-1,3.75529719651702
2,G1,12,3673.39713944207,3915.50311466061,Q3-R03,K2-recommended-G1-R_uav-1,3.60381085021034
2,G1,12,3915.50311466061,4157.60908987915,,G01,9.93702786276152
2,G1,12,4157.60908987915,4331.25074515259,,G01,19.1938966486376
2,G1,13,843.554941922245,938.755273546594,,G01,22.8305808468839
2,G1,13,938.755273546594,1185.10499644585,,G01,0.0483666448051139
2,G1,13,1185.10499644585,1431.4547193451,Q3-R01,K2-recommended-G1-R_uav-1,0.121307548117642
2,G1,13,1431.4547193451,1484.85511729432,Q3-R01,K2-recommended-G1-R_uav-1,1.96908425426611
2,G1,13,1484.85511729432,1675.54702248065,Q3-R01,K2-recommended-G1-R_uav-1,2.07975089471441
2,G1,13,1675.54702248065,1724.85511729432,Q3-R01,K2-recommended-G1-R_uav-1,2.07975089471441
2,G1,13,1724.85511729432,1769.35544891867,Q3-R01,K2-recommended-G1-R_uav-1,1.96908425426611
2,G1,13,1769.35544891867,1773.20666333897,Q3-R01,K2-recommended-G1-R_uav-1,2.0736495964224
2,G1,13,1773.20666333897,1895.41872118349,Q3-R02,K2-recommended-G1-R_uav-2,1.43767082538452
2,G1,13,1895.41872118349,2017.63077902802,Q3-R02,K2-recommended-G1-R_uav-2,2.07071362590678
2,G1,13,2017.63077902802,2262.05489471706,,G01,0.114050118931274
2,G1,13,2262.05489471706,2376.29529266628,,G01,22.8305808468839
2,G1,14,4391.25074515259,4472.98718924439,,G01,24.1550352714684
2,G1,14,4472.98718924439,4662.59191064625,,G01,2.45096875050871
2,G1,14,4662.59191064625,4852.19663204812,Q3-R03,K2-recommended-G1-R_uav-1,2.68544365354697
2,G1,14,4852.19663204812,5011.58939673927,Q3-R04,K2-recommended-G1-R_uav-2,7.65665874920123
2,G1,14,5011.58939673927,5031.99126319435,Q3-R04,K2-recommended-G1-R_uav-2,0.0300575872650768
2,G1,14,5031.99126319435,5052.39312964943,Q3-R04,K2-recommended-G1-R_uav-2,0.0265284606814618
2,G1,14,5052.39312964943,5262.39312964943,Q3-R04,K2-recommended-G1-R_uav-2,0.136042485008304
2,G1,14,5262.39312964943,5279.39468502866,Q3-R04,K2-recommended-G1-R_uav-2,0.0265284606814618
2,G1,14,5279.39468502866,5296.39624040789,Q3-R04,K2-recommended-G1-R_uav-2,0.0300575872650768
2,G1,14,5296.39624040789,5425.78900509904,Q3-R04,K2-recommended-G1-R_uav-2,8.82601459632816
2,G1,14,5425.78900509904,5544.66019542507,Q3-R03,K2-recommended-G1-R_uav-1,2.71276233090138
2,G1,14,5544.66019542507,5553.73326581499,,G01,9.15190113445284
2,G1,14,5553.73326581499,5562.80633620492,,G01,9.426818559236
2,G1,14,5562.80633620492,5580.95247698478,,G01,9.70816969180956
2,G1,14,5580.95247698478,5617.24475854449,,G01,0.299484375463948
2,G1,14,5617.24475854449,5689.82932166391,,G01,1.61610896864612
2,G1,14,5689.82932166391,5834.99844790276,,G01,4.66168115106422
2,G1,14,5834.99844790276,5933.08218081291,,G01,24.1550352714684
2,G1,15,1554.16907732905,1612.31172137202,,G01,28.6970794428954
2,G1,15,1612.31172137202,1675.54702248065,,G01,11.7093957561438
2,G1,15,1675.54702248065,1773.20666333897,,G01,4.20473023251847
2,G1,15,1773.20666333897,1815.91031093987,,G01,2.21668758615168
2,G1,15,1815.91031093987,1860.43861599358,,G01,2.11881910856134
2,G1,15,1860.43861599358,2112.43861599358,,G01,2.247841154143
2,G1,15,2112.43861599358,2162.5365530053,,G01,2.06590232346241
2,G1,15,2162.5365530053,2453.24305561523,Q3-R02,K2-recommended-G1-R_uav-2,1.93094688410247
2,G1,15,2453.24305561523,2498.11547687988,Q3-R02,K2-recommended-G1-R_uav-2,8.43420644323835
2,G1,15,2498.11547687988,2894.11547687988,Q3-R02,K2-recommended-G1-R_uav-2,8.58969544764825
2,G1,15,2894.11547687988,2929.89717854003,Q3-R02,K2-recommended-G1-R_uav-2,8.43471562018644
2,G1,15,2929.89717854003,3108.86527227216,Q3-R02,K2-recommended-G1-R_uav-2,5.00704939024411
2,G1,15,3108.86527227216,3161.50263026138,Q3-R02,K2-recommended-G1-R_uav-2,7.53770515162761
2,G1,15,3161.50263026138,3423.98454221224,Q3-R03,K2-recommended-G1-R_uav-1,0.373723419765184
2,G1,15,3423.98454221224,3514.61166928744,,G01,26.7800109952677
2,G1,17,3724.61166928744,3878.32093930697,,G01,20.2529737910729
2,G1,17,3878.32093930697,4180.61831042798,Q3-R03,K2-recommended-G1-R_uav-1,2.49346836753311
2,G1,17,4180.61831042798,4262.35489795239,Q3-R03,K2-recommended-G1-R_uav-1,3.61938804937449
2,G1,17,4262.35489795239,4514.35489795239,Q3-R03,K2-recommended-G1-R_uav-1,4.1760073314011
2,G1,17,4514.35489795239,4539.23463428052,Q3-R03,K2-recommended-G1-R_uav-1,3.96888991577794
2,G1,17,4539.23463428052,4721.51874246726,Q3-R03,K2-recommended-G1-R_uav-1,3.76961865994826
2,G1,17,4721.51874246726,4757.61841287742,Q3-R03,K2-recommended-G1-R_uav-1,3.92003079650402
2,G1,17,4757.61841287742,4852.19663204812,Q3-R03,K2-recommended-G1-R_uav-1,3.99762295151061
2,G1,17,4852.19663204812,5117.61841287742,Q3-R03,K2-recommended-G1-R_uav-1,3.99762295151061
2,G1,17,5117.61841287742,5206.94006815086,Q3-R03,K2-recommended-G1-R_uav-1,3.75529719651702
2,G1,17,5206.94006815086,5425.78900509904,Q3-R03,K2-recommended-G1-R_uav-1,3.68343196608357
2,G1,17,5425.78900509904,5544.66019542507,Q3-R03,K2-recommended-G1-R_uav-1,0.394167925235152
2,G1,17,5544.66019542507,5691.15201858794,,G01,3.9686654679071
2,G1,17,5691.15201858794,5908.20408767974,,G01,19.1938966486376
2,G1,18,300.000001000016,390.493942243506,,G01,23.2709600060778
2,G1,18,390.493942243506,554.660001889279,,G01,5.19944518752634
2,G1,18,554.660001889279,636.743031712165,,G01,2.3927743497218
2,G1,18,636.743031712165,677.784546623608,,G01,1.12641886409861
2,G1,18,677.784546623608,698.30530407933,,G01,0.554869806644803
2,G1,18,698.30530407933,708.56568280719,,G01,0.28240474505904
2,G1,18,708.56568280719,718.826061535051,,G01,0.00814679933471041
2,G1,18,718.826061535051,794.597473679265,Q3-R01,K2-recommended-G1-R_uav-1,6.02746286297798
2,G1,18,794.597473679265,813.590203171453,Q3-R01,K2-recommended-G1-R_uav-1,7.53893838963978
2,G1,18,813.590203171453,993.590203171453,Q3-R01,K2-recommended-G1-R_uav-1,7.61074158074061
2,G1,18,993.590203171453,1054.11030815192,Q3-R01,K2-recommended-G1-R_uav-1,7.33183292393394
2,G1,18,1054.11030815192,1314.72701622533,Q3-R01,K2-recommended-G1-R_uav-1,5.90932134223945
2,G1,18,1314.72701622533,1387.63114220189,Q3-R01,K2-recommended-G1-R_uav-1,9.50951988232356
2,G1,18,1387.63114220189,1567.63114220189,Q3-R01,K2-recommended-G1-R_uav-1,10.4128605785245
2,G1,18,1567.63114220189,1647.94693810033,Q3-R01,K2-recommended-G1-R_uav-1,9.16086784080879
2,G1,18,1647.94693810033,1675.54702248065,Q3-R01,K2-recommended-G1-R_uav-1,8.6961247197203
2,G1,18,1675.54702248065,1773.20666333897,Q3-R01,K2-recommended-G1-R_uav-1,1.6353118105072
2,G1,18,1773.20666333897,1793.60502352308,,G01,0.00571155585001293
2,G1,18,1793.60502352308,1814.00338370719,,G01,0.556672883545801
2,G1,18,1814.00338370719,1854.8001040754,,G01,1.11293464372679
2,G1,18,1854.8001040754,1936.39354481184,,G01,2.3340265017129
2,G1,18,1936.39354481184,2099.5804262847,,G01,4.72839146980334
2,G1,18,2099.5804262847,2285.27938136283,,G01,18.6107857926076
2,G1,19,1310.89950207717,1401.39344332066,,G01,23.2709600060778
2,G1,19,1401.39344332066,1675.54702248065,,G01,0.97016076366458
2,G1,19,1675.54702248065,1773.20666333897,Q3-R01,K2-recommended-G1-R_uav-1,5.34774121829409
2,G1,19,1773.20666333897,1805.49697475642,Q3-R02,K2-recommended-G1-R_uav-2,1.82209757527613
2,G1,19,1805.49697475642,1824.4897042486,Q3-R02,K2-recommended-G1-R_uav-2,2.07255573920411
2,G1,19,1824.4897042486,2034.4897042486,Q3-R02,K2-recommended-G1-R_uav-2,2.11413823748617
2,G1,19,2034.4897042486,2041.3560311529,Q3-R02,K2-recommended-G1-R_uav-2,2.09612376061484
2,G1,19,2041.3560311529,2308.95112798729,Q3-R02,K2-recommended-G1-R_uav-2,1.85638895074911
2,G1,19,2308.95112798729,2365.87072027245,Q3-R02,K2-recommended-G1-R_uav-2,0.108761706713324
2,G1,19,2365.87072027245,2545.87072027245,Q3-R02,K2-recommended-G1-R_uav-2,0.411920705489166
2,G1,19,2545.87072027245,2566.94702439029,Q3-R02,K2-recommended-G1-R_uav-2,0.278894208390525
2,G1,19,2566.94702439029,2804.66139781849,Q3-R02,K2-recommended-G1-R_uav-2,3.64602600550684
2,G1,19,2804.66139781849,3042.37577124668,,G01,2.50714068208693
2,G1,19,3042.37577124668,3108.58733618809,,G01,27.5682979371973
2,G1,20,4604.4689489816,4659.64525309944,,G01,27.5682979371973
2,G1,20,4659.64525309944,4852.19663204812,,G01,4.28461253291375
2,G1,20,4852.19663204812,4993.63531600199,Q3-R03,K2-recommended-G1-R_uav-1,1.70007369000021
2,G1,20,4993.63531600199,5064.35465797892,Q3-R03,K2-recommended-G1-R_uav-1,1.02455766714111
2,G1,20,5064.35465797892,5135.07399995586,Q3-R03,K2-recommended-G1-R_uav-1,0.0324440523634877
2,G1,20,5135.07399995586,5160.36556489726,Q3-R03,K2-recommended-G1-R_uav-1,0.107266606759822
2,G1,20,5160.36556489726,5370.36556489726,Q3-R03,K2-recommended-G1-R_uav-1,0.150433572224728
2,G1,20,5370.36556489726,5391.4418690151,Q3-R03,K2-recommended-G1-R_uav-1,0.107266606759822
2,G1,20,5391.4418690151,5425.78900509904,Q3-R03,K2-recommended-G1-R_uav-1,0.0977284579790876
2,G1,20,5425.78900509904,5544.66019542507,Q3-R03,K2-recommended-G1-R_uav-1,0.389778667892941
2,G1,20,5544.66019542507,5705.76540564828,,G01,0.133744424954273
2,G1,20,5705.76540564828,5866.8706158715,,G01,5.77892887002884
2,G1,20,5866.8706158715,5933.0821808129,,G01,27.5682979371973
2,G1,21,1591.55386796164,1671.03822343039,,G01,25.981341853713
2,G1,21,1671.03822343039,1675.54702248065,,G01,25.1328507688017
2,G1,21,1675.54702248065,1773.20666333897,,G01,7.8206071186371
2,G1,21,1773.20666333897,2023.07868588858,Q3-R02,K2-recommended-G1-R_uav-2,2.42604997247311
2,G1,21,2023.07868588858,2088.78413022452,Q3-R02,K2-recommended-G1-R_uav-2,3.98153469100173
2,G1,21,2088.78413022452,2304.78413022452,Q3-R02,K2-recommended-G1-R_uav-2,4.3902267229067
2,G1,21,2304.78413022452,2373.10676206045,Q3-R02,K2-recommended-G1-R_uav-2,3.85304957287913
2,G1,21,2373.10676206045,2546.98286562475,Q3-R02,K2-recommended-G1-R_uav-2,7.08110305669368
2,G1,21,2546.98286562475,2615.73615541967,Q3-R02,K2-recommended-G1-R_uav-2,0.966470276185191
2,G1,21,2615.73615541967,3011.73615541967,Q3-R02,K2-recommended-G1-R_uav-2,1.28728123570127
2,G1,21,3011.73615541967,3079.71182192358,Q3-R02,K2-recommended-G1-R_uav-2,0.888580826045555
2,G1,21,3079.71182192358,3108.86527227216,Q3-R02,K2-recommended-G1-R_uav-2,1.31877764383364
2,G1,21,3108.86527227216,3161.50263026138,Q3-R02,K2-recommended-G1-R_uav-2,3.85649879828934
2,G1,21,3161.50263026138,3377.76377439637,Q3-R03,K2-recommended-G1-R_uav-1,0.0769105775008256
2,G1,21,3377.76377439637,3594.02491853137,,G01,1.33230446469858
2,G1,21,3594.02491853137,3729.29450166125,,G01,23.3011722198605
2,G1,22,5071.05923415521,5126.94648594558,,G01,27.4570949900334
2,G1,22,5126.94648594558,5360.95267200229,,G01,2.64660268261862
2,G1,22,5360.95267200229,5394.25737415072,,G01,2.84274166465613
2,G1,22,5394.25737415072,5425.78900509904,,G01,2.97531985376901
2,G1,22,5425.78900509904,5544.66019542507,,G01,2.97531985376901
2,G1,22,5544.66019542507,5604.25737415072,,G01,2.97531985376901
2,G1,22,5604.25737415072,5632.01129260776,,G01,2.84274166465613
2,G1,22,5632.01129260776,5866.01747866447,,G01,2.64660268261862
2,G1,22,5866.01747866447,5933.0821808129,,G01,27.4570949900334
2,G1,23,2695.78401825254,2843.81710337623,,G01,18.9961742660636
2,G1,23,2843.81710337623,2976.3411878242,,G01,4.82841968678625
2,G1,23,2976.3411878242,3108.86527227216,Q3-R02,K2-recommended-G1-R_uav-2,0.808915587091107
2,G1,23,3108.86527227216,3161.50263026138,Q3-R02,K2-recommended-G1-R_uav-2,2.17416138408802
2,G1,23,3161.50263026138,3244.44263481761,Q3-R03,K2-recommended-G1-R_uav-1,6.31323878619594
2,G1,23,3244.44263481761,3283.36233696605,Q3-R03,K2-recommended-G1-R_uav-1,6.4073345137391
2,G1,23,3283.36233696605,3523.36233696605,Q3-R03,K2-recommended-G1-R_uav-1,6.55348643626947
2,G1,23,3523.36233696605,3555.79542208974,Q3-R03,K2-recommended-G1-R_uav-1,6.4073345137391
2,G1,23,3555.79542208974,3756.10818781041,Q3-R03,K2-recommended-G1-R_uav-1,5.03204532455047
2,G1,23,3756.10818781041,3956.42095353107,,G01,1.56891983145425
2,G1,23,3956.42095353107,4134.06065567951,,G01,18.9961742660636
2,G2,16,300.0,395.359135742188,,G01,24.3997288659014
2,G2,16,395.359135742188,607.773014303087,,G01,1.19839862050651
2,G2,16,607.773014303087,633.421933980821,,G01,1.79463580160601
2,G2,16,633.421933980821,718.826061535051,,G01,1.86836352607612
2,G2,16,718.826061535051,1029.42193398082,,G01,1.86836352607612
2,G2,16,1029.42193398082,1049.94106972301,,G01,1.79463580160601
2,G2,16,1049.94106972301,1262.35494828391,,G01,1.19839862050651
2,G2,16,1262.35494828391,1381.55386796164,,G01,24.3997288659014
3,G1,1,2698.34363810088,2826.43469645049,,G01,20.2529737910729
3,G1,1,2826.43469645049,3108.86527227216,,G01,0.574472625218277
3,G1,1,3108.86527227216,3161.50263026138,Q3-R02,K3-recommended-G1-R_uav-2,0.420362094099602
3,G1,1,3161.50263026138,3204.30641035175,Q3-R03,K3-recommended-G1-R_uav-1,4.02524455796281
3,G1,1,3204.30641035175,3269.69568037128,Q3-R03,K3-recommended-G1-R_uav-1,3.61938804937449
3,G1,1,3269.69568037128,3479.69568037128,Q3-R03,K3-recommended-G1-R_uav-1,4.1760073314011
3,G1,1,3479.69568037128,3534.18673872089,Q3-R03,K3-recommended-G1-R_uav-1,3.61938804937449
3,G1,1,3534.18673872089,3912.05845262213,Q3-R03,K3-recommended-G1-R_uav-1,2.49346836753311
3,G1,1,3912.05845262213,4065.76772264166,,G01,20.2529737910729
3,G1,2,300.0,358.142644042969,,G01,28.6970794428954
3,G1,2,358.142644042969,561.741233610815,,G01,1.95921317757148
3,G1,2,561.741233610815,606.269538664526,,G01,2.11881910856134
3,G1,2,606.269538664526,718.826061535051,,G01,2.247841154143
3,G1,2,718.826061535051,1002.26953866453,,G01,2.247841154143
3,G1,2,1002.26953866453,1037.89218270749,,G01,2.11881910856134
3,G1,2,1037.89218270749,1241.49077227534,,G01,1.95921317757148
