gap_units,total_units,work_cv,relay_task_copies,groups,need_A_uav,need_B_uav,need_C_uav,need_A_battery,need_B_battery,need_C_battery,need_R_uav,need_R_component
8,37,1.027079816284041,6,S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014;S015 | S006 | S008,4,4,3,6,6,5,4,5
12,42,0.7682981168990675,8,S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014 | S006;S015 | S008,4,5,3,6,6,5,6,7
8,38,0.9033084943374251,7,S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014 | S006 | S008;S015,4,4,3,6,6,5,4,6
12,42,0.7936172563202437,8,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014;S015 | S006;S012 | S008,4,5,3,6,6,5,6,7
13,43,0.6587819760431153,9,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S012;S015 | S008,4,5,3,6,6,5,6,8
13,43,0.6762019057448292,9,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S012 | S008;S015,4,5,3,6,6,5,6,8
7,37,0.8515105612985585,8,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014;S015 | S006 | S008;S012,4,4,3,6,5,5,4,6
12,42,0.6053312090998575,10,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006;S015 | S008;S012,4,5,3,6,5,5,6,8
7,37,0.8120165088468065,8,S001;S002;S003;S004;S005;S007;S009;S010;S011;S013;S014 | S006 | S008;S012;S015,4,4,3,6,5,5,4,6
16,46,0.49665954731768447,9,S001;S002;S003;S004;S005;S007;S011;S012;S015 | S006;S009;S010;S013;S014 | S008,7,4,3,7,6,5,6,8
17,47,0.4631748705808964,9,S001;S002;S003;S004;S005;S007;S011;S012 | S006;S009;S010;S013;S014;S015 | S008,7,5,3,7,6,5,6,8
17,47,0.3669082865631454,10,S001;S002;S003;S004;S005;S007;S011;S012 | S006;S009;S010;S013;S014 | S008;S015,7,4,3,7,6,5,6,9
17,47,0.46118146146927397,9,S001;S002;S003;S004;S005;S007;S011;S015 | S006;S009;S010;S012;S013;S014 | S008,7,5,3,7,6,5,6,8
17,47,0.43441650304276397,9,S001;S002;S003;S004;S005;S007;S011 | S006;S009;S010;S012;S013;S014;S015 | S008,7,5,3,7,6,5,6,8
18,48,0.3276210504111726,10,S001;S002;S003;S004;S005;S007;S011 | S006;S009;S010;S012;S013;S014 | S008;S015,7,5,3,7,6,5,6,9
16,46,0.3140282229226896,11,S001;S002;S003;S004;S005;S007;S011;S015 | S006;S009;S010;S013;S014 | S008;S012,7,4,3,7,5,5,6,9
