gap_units,total_units,work_cv,relay_task_copies,groups,need_A_uav,need_B_uav,need_C_uav,need_A_battery,need_B_battery,need_C_battery,need_R_uav,need_R_component
8,37,0.4484060699861648,6,S001;S002;S004;S005;S006;S008;S009;S010;S012;S013;S014;S015 | S003;S007;S011,6,3,3,7,4,5,4,5
10,39,0.390421846684766,6,S001;S002;S004;S005;S006;S008;S009;S010;S012;S013;S014 | S003;S007;S011;S015,6,4,3,7,5,5,4,5
9,39,0.32650710949851824,7,S001;S002;S004;S005;S006;S008;S009;S010;S013;S014;S015 | S003;S007;S011;S012,6,3,3,7,5,5,4,6
10,40,0.27103636550211696,7,S001;S002;S004;S005;S006;S008;S009;S010;S013;S014 | S003;S007;S011;S012;S015,6,4,3,7,5,5,4,6
7,37,0.06428541036577946,7,S001;S002;S004;S005;S006;S008;S012;S015 | S003;S007;S009;S010;S011;S013;S014,5,3,3,7,4,5,4,6
9,39,0.008814666369378176,7,S001;S002;S004;S005;S006;S008;S012 | S003;S007;S009;S010;S011;S013;S014;S015,5,4,3,7,5,5,4,6
8,38,0.0051714364635276,7,S001;S002;S004;S005;S006;S008;S015 | S003;S007;S009;S010;S011;S012;S013;S014,5,3,3,7,5,5,4,6
9,39,0.05029930753287362,7,S001;S002;S004;S005;S006;S008 | S003;S007;S009;S010;S011;S012;S013;S014;S015,5,4,3,7,5,5,4,6
11,41,0.2778274744029687,7,S001;S002;S004;S005;S006;S009;S010;S012;S013;S014;S015 | S003;S007;S008;S011,6,4,3,7,6,5,4,6
12,42,0.2218179226978447,7,S001;S002;S004;S005;S006;S009;S010;S012;S013;S014 | S003;S007;S008;S011;S015,6,4,3,7,7,5,4,6
9,39,0.16705867233990404,8,S001;S002;S004;S005;S006;S009;S010;S013;S014;S015 | S003;S007;S008;S011;S012,6,3,3,7,5,5,4,6
10,40,0.11339778741828015,8,S001;S002;S004;S005;S006;S009;S010;S013;S014 | S003;S007;S008;S011;S012;S015,6,3,3,7,6,5,4,6
10,40,0.08660744798520727,8,S001;S002;S004;S005;S006;S012;S015 | S003;S007;S008;S009;S010;S011;S013;S014,5,4,3,7,6,5,4,6
11,41,0.14026833290683122,8,S001;S002;S004;S005;S006;S012 | S003;S007;S008;S009;S010;S011;S013;S014;S015,5,4,3,7,7,5,4,6
8,38,0.14379269415811607,8,S001;S002;S004;S005;S006;S015 | S003;S007;S008;S009;S010;S011;S012;S013;S014,5,3,3,7,5,5,4,6
9,39,0.19745357907974004,8,S001;S002;S004;S005;S006 | S003;S007;S008;S009;S010;S011;S012;S013;S014;S015,5,3,3,7,6,5,4,6
7,36,0.4048031501024277,6,S001;S002;S004;S005;S008;S009;S010;S012;S013;S014;S015 | S003;S006;S007;S011,6,3,3,7,4,4,4,5
9,38,0.346818926801029,6,S001;S002;S004;S005;S008;S009;S010;S012;S013;S014 | S003;S006;S007;S011;S015,6,4,3,7,5,4,4,5
8,38,0.28479427333972074,7,S001;S002;S004;S005;S008;S009;S010;S013;S014;S015 | S003;S006;S007;S011;S012,6,3,3,7,5,4,4,6
9,39,0.22932352934331945,7,S001;S002;S004;S005;S008;S009;S010;S013;S014 | S003;S006;S007;S011;S012;S015,6,4,3,7,5,4,4,6
6,36,0.02257257420698207,7,S001;S002;S004;S005;S008;S012;S015 | S003;S006;S007;S009;S010;S011;S013;S014,5,3,3,7,4,4,4,6
8,38,0.03289816978941936,7,S001;S002;S004;S005;S008;S012 | S003;S006;S007;S009;S010;S011;S013;S014;S015,5,4,3,7,5,4,4,6
7,37,0.0365413996952698,7,S001;S002;S004;S005;S008;S015 | S003;S006;S007;S009;S010;S011;S012;S013;S014,5,3,3,7,5,4,4,6
8,38,0.0920121436916711,7,S001;S002;S004;S005;S008 | S003;S006;S007;S009;S010;S011;S012;S013;S014;S015,5,4,3,7,5,4,4,6
10,40,0.23570946614702923,7,S001;S002;S004;S005;S009;S010;S012;S013;S014;S015 | S003;S006;S007;S008;S011,6,4,3,7,6,4,4,6
11,41,0.17969991444190528,7,S001;S002;S004;S005;S009;S010;S012;S013;S014 | S003;S006;S007;S008;S011;S015,6,4,3,7,7,4,4,6
