K,group,resource_type,q3_task,local_resource,start_s,end_s
2,1,A_uav,Q2-001,K2-G1-U01,2302.0902265374966,4065.7677226416645
2,1,A_uav,Q2-003,K2-G1-U01,0.0,2302.0902265374966
2,1,A_uav,Q2-006,K2-G1-U02,0.0,1220.8995020771663
2,1,A_uav,Q2-007,K2-G1-U03,0.0,1967.2481804162503
2,1,A_uav,Q2-009,K2-G1-U04,2285.279381362826,3942.3263177052486
2,1,A_uav,Q2-011,K2-G1-U03,1967.2481804162503,3929.660162371649
2,1,A_uav,Q2-018,K2-G1-U04,0.0,2285.279381362826
2,1,A_uav,Q2-019,K2-G1-U02,1220.8995020771663,3108.5873361880904
2,1,A_uav,Q2-020,K2-G1-U02,3108.5873361880904,5933.082180812905
2,1,A_uav,Q2-022,K2-G1-U04,3942.3263177052486,5933.082180812905
2,1,B_uav,Q2-005,K2-G1-U05,0.0,1089.1002072932436
2,1,B_uav,Q2-010,K2-G1-U05,1089.1002072932436,2602.6591398211435
2,1,B_uav,Q2-012,K2-G1-U06,2376.295292666282,4331.250745152591
2,1,C_uav,Q2-002,K2-G1-U07,0.0,1314.1690773290507
2,1,C_uav,Q2-015,K2-G1-U07,1314.1690773290507,3514.611669287439
2,1,C_uav,Q2-017,K2-G1-U07,3514.611669287439,5908.204087679742
2,1,A_battery,Q2-001,K2-G1-A-B02,2698.3436381008833,5116.180141345346
2,1,A_battery,Q2-003,K2-G1-A-B01,376.76140670993817,3538.6781322665843
2,1,A_battery,Q2-006,K2-G1-A-B02,300.0,2086.1463082988685
2,1,A_battery,Q2-007,K2-G1-A-B03,672.3854528635702,3051.4268156280823
2,1,A_battery,Q2-009,K2-G1-A-B03,3051.4268156280823,4812.773101826787
2,1,A_battery,Q2-011,K2-G1-A-B06,2312.259014123537,5051.409811194626
2,1,A_battery,Q2-018,K2-G1-A-B04,300.0000010000165,3599.066367582479
2,1,A_battery,Q2-019,K2-G1-A-B05,1310.8995020771663,4380.266605312087
2,1,A_battery,Q2-020,K2-G1-A-B04,4604.468948981603,7106.564824976526
2,1,A_battery,Q2-022,K2-G1-A-B01,5071.059234155211,6765.878133269816
