K,group,route,t0_s,t1_s,q3_provider,relay_task,local_provider,margin_dB
2,2,14,4391.25074515259,4472.98718924439,G01,,G01,24.1550352714684
2,2,14,4472.98718924439,4662.59191064625,G01,,G01,2.45096875050871
2,2,14,4662.59191064625,4852.19663204812,R01,Q3-R03,K2-G2-R01,2.68544365354697
2,2,14,4852.19663204812,5011.58939673927,R02,Q3-R04,K2-G2-R02,7.65665874920123
2,2,14,5011.58939673927,5031.99126319435,R02,Q3-R04,K2-G2-R02,0.0300575872650768
2,2,14,5031.99126319435,5052.39312964943,R02,Q3-R04,K2-G2-R02,0.0265284606814618
2,2,14,5052.39312964943,5262.39312964943,R02,Q3-R04,K2-G2-R02,0.136042485008304
2,2,14,5262.39312964943,5279.39468502866,R02,Q3-R04,K2-G2-R02,0.0265284606814618
2,2,14,5279.39468502866,5296.39624040789,R02,Q3-R04,K2-G2-R02,0.0300575872650768
2,2,14,5296.39624040789,5425.78900509904,R02,Q3-R04,K2-G2-R02,8.82601459632816
2,2,14,5425.78900509904,5544.66019542507,R01,Q3-R03,K2-G2-R01,2.71276233090138
2,2,14,5544.66019542507,5553.73326581499,G01,,G01,9.15190113445284
2,2,14,5553.73326581499,5562.80633620492,G01,,G01,9.426818559236
2,2,14,5562.80633620492,5580.95247698478,G01,,G01,9.70816969180956
2,2,14,5580.95247698478,5617.24475854449,G01,,G01,0.299484375463948
2,2,14,5617.24475854449,5689.82932166391,G01,,G01,1.61610896864612
2,2,14,5689.82932166391,5834.99844790276,G01,,G01,4.66168115106422
2,2,14,5834.99844790276,5933.08218081291,G01,,G01,24.1550352714684
2,2,16,300,395.359135742188,G01,,G01,24.3997288659014
2,2,16,395.359135742188,607.773014303087,G01,,G01,1.19839862050651
2,2,16,607.773014303087,633.421933980821,G01,,G01,1.79463580160601
2,2,16,633.421933980821,718.826061535051,G01,,G01,1.86836352607612
2,2,16,718.826061535051,1029.42193398082,G01,,G01,1.86836352607612
2,2,16,1029.42193398082,1049.94106972301,G01,,G01,1.79463580160601
2,2,16,1049.94106972301,1262.35494828391,G01,,G01,1.19839862050651
2,2,16,1262.35494828391,1381.55386796164,G01,,G01,24.3997288659014
2,2,21,1591.55386796164,1671.03822343039,G01,,G01,25.981341853713
2,2,21,1671.03822343039,1675.54702248065,G01,,G01,25.1328507688017
2,2,21,1675.54702248065,1773.20666333897,G01,,G01,7.8206071186371
2,2,21,1773.20666333897,2023.07868588858,R02,Q3-R02,K2-G2-R02,2.42604997247311
2,2,21,2023.07868588858,2088.78413022452,R02,Q3-R02,K2-G2-R02,3.98153469100173
2,2,21,2088.78413022452,2304.78413022452,R02,Q3-R02,K2-G2-R02,4.3902267229067
2,2,21,2304.78413022452,2373.10676206045,R02,Q3-R02,K2-G2-R02,3.85304957287913
2,2,21,2373.10676206045,2546.98286562475,R02,Q3-R02,K2-G2-R02,7.08110305669368
2,2,21,2546.98286562475,2615.73615541967,R02,Q3-R02,K2-G2-R02,0.966470276185191
2,2,21,2615.73615541967,3011.73615541967,R02,Q3-R02,K2-G2-R02,1.28728123570127
2,2,21,3011.73615541967,3079.71182192358,R02,Q3-R02,K2-G2-R02,0.888580826045555
2,2,21,3079.71182192358,3108.86527227216,R02,Q3-R02,K2-G2-R02,1.31877764383364
2,2,21,3108.86527227216,3161.50263026138,R02,Q3-R02,K2-G2-R02,3.85649879828934
2,2,21,3161.50263026138,3377.76377439637,R01,Q3-R03,K2-G2-R01,0.0769105775008256
